Gene ID	Ensembl Gene ID	Gene Symbol	
490	ENSG00000070961	ATP2B1	
3593	ENSG00000113302	IL12B	
3572	ENSG00000134352	IL6ST	
9120	ENSG00000108932	SLC16A6	
19	ENSG00000165029	ABCA1	
3280	ENSG00000114315	HES1	
604	ENSG00000113916	BCL6	
8660	ENSG00000185950	IRS2	
6515	ENSG00000059804	SLC2A3	
1052	ENSG00000221869	CEBPD	
51561	ENSG00000110944	IL23A	
4088	ENSG00000166949	SMAD3	
6890	ENSG00000168394; ENSG00000206297; ENSG00000230705; ENSG00000226173; ENSG00000232367; ENSG00000227816; ENSG00000224212; ENSG00000224748	TAP1	
9242	ENSG00000178860	MSC	
64135	ENSG00000115267	IFIH1	
3601	ENSG00000134470	IL15RA	
79155	ENSG00000168884	TNIP2	
602	ENSG00000069399	BCL3	
24145	ENSG00000110218	PANX1	
24147	ENSG00000179431	FJX1	
1906	ENSG00000078401	EDN1	
10209	ENSG00000173812	EIF1	
650	ENSG00000125845	BMP2	
1846	ENSG00000120875	DUSP4	
10611	ENSG00000163110	PDLIM5	
23308	ENSG00000160223	ICOSLG	
9945	ENSG00000131459	GFPT2	
10365	ENSG00000127528	KLF2	
3371	ENSG00000041982	TNC	
5271	ENSG00000166401	SERPINB8	
4084	ENSG00000059728	MXD1	
5230	ENSG00000102144	PGK1	
5163	ENSG00000152256	PDK1	
2632	ENSG00000114480	GBE1	
5211	ENSG00000141959	PFKL	
226	ENSG00000149925	ALDOA	
2026	ENSG00000111674	ENO2	
5236	ENSG00000079739	PGM1	
10397	ENSG00000104419	NDRG1	
3099	ENSG00000159399	HK2	
230	ENSG00000109107	ALDOC	
2821	ENSG00000282019; ENSG00000105220	GPI	
4601	ENSG00000119950	MXI1	
6513	ENSG00000117394	SLC2A1	
5033	ENSG00000122884	P4HA1	
133	ENSG00000148926	ADM	
8974	ENSG00000072682	P4HA2	
2023	ENSG00000074800	ENO1	
5214	ENSG00000067057	PFKP	
205	ENSG00000162433	AK4	
26355	ENSG00000114023	FAM162A	
665	ENSG00000104765	BNIP3L	
7167	ENSG00000111669	TPI1	
30001	ENSG00000197930	ERO1A	
55818	ENSG00000115548	KDM3A	
901	ENSG00000138764	CCNG2	
3939	ENSG00000134333	LDHA	
2997	ENSG00000104812	GYS1	
2597	ENSG00000111640	GAPDH	
51129	ENSG00000167772	ANGPTL4	
4015	ENSG00000113083	LOX	
2645	ENSG00000106633	GCK	
8497	ENSG00000143847	PPFIA4	
54541	ENSG00000168209	DDIT4	
3486	ENSG00000146674	IGFBP3	
3516	ENSG00000168214	RBPJ	
3098	ENSG00000156515	HK1	
10370	ENSG00000164442	CITED2	
3669	ENSG00000172183	ISG20	
2584	ENSG00000108479	GALK1	
26118	ENSG00000109046	WSB1	
5837	ENSG00000068976	PYGM	
6781	ENSG00000159167	STC1	
23036	ENSG00000188994	ZNF292	
123	ENSG00000147872	PLIN2	
1466	ENSG00000175183	CSRP2	
7436	ENSG00000147852	VLDLR	
23210	ENSG00000070495	JMJD6	
2131	ENSG00000182197	EXT1	
5165	ENSG00000067992	PDK3	
55139	ENSG00000163516	ANKZF1	
7360	ENSG00000169764	UGP2	
229	ENSG00000136872	ALDOB	
8614	ENSG00000113739	STC2	
54206	ENSG00000116285	ERRFI1	
2027	ENSG00000108515	ENO3	
3162	ENSG00000100292	HMOX1	
5228	ENSG00000119630	PGF	
26330	ENSG00000105679	GAPDHS	
9435	ENSG00000175040	CHST2	
55076	ENSG00000181458	TMEM45A	
63827	ENSG00000132692	BCAN	
857	ENSG00000105974	CAV1	
272	ENSG00000133805	AMPD3	
2719	ENSG00000147257	GPC3	
3340	ENSG00000070614	NDST1	
8819	ENSG00000164105	SAP30	
2548	ENSG00000171298	GAA	
8987	ENSG00000118804	STBD1	
5313	ENSG00000262785; ENSG00000143627	PKLR	
3484	ENSG00000146678	IGFBP1	
112464	ENSG00000170955	CAVIN3	
8839	ENSG00000064205	CCN5	
9215	ENSG00000133424	LARGE1	
25819	ENSG00000151014	NOCT	
6275	ENSG00000196154	S100A4	
58528	ENSG00000025039	RRAGD	
1956	ENSG00000146648	EGFR	
1907	ENSG00000127129	EDN2	
3423	ENSG00000010404	IDS	
6095	ENSG00000069667	RORA	
4282	ENSG00000276701; ENSG00000240972	MIF	
5507	ENSG00000119938	PPP1R3C	
10570	ENSG00000151640	DPYSL4	
11015	ENSG00000100196	KDELR3	
1837	ENSG00000134769	DTNA	
136	ENSG00000170425	ADORA2B	
9957	ENSG00000002587	HS3ST1	
284119	ENSG00000177469	CAVIN1	
2908	ENSG00000113580	NR3C1	
2239	ENSG00000076716	GPC4	
771	ENSG00000074410	CA12	
3073	ENSG00000213614	HEXA	
633	ENSG00000182492	BGN	
55276	ENSG00000169299	PGM2	
5292	ENSG00000137193	PIM1	
25824	ENSG00000126432	PRDX5	
55577	ENSG00000124357	NAGK	
1027	ENSG00000111276	CDKN1B	
680	ENSG00000102239	BRS3	
8277	ENSG00000007350	TKTL1	
4493	ENSG00000169715	MT1E	
538	ENSG00000165240	ATP7A	
4502	ENSG00000125148	MT2A	
9672	ENSG00000162512	SDC3	
5317	ENSG00000081277	PKP1	
302	ENSG00000182718	ANXA2	
5224	ENSG00000164708	PGAM2	
1649	ENSG00000175197	DDIT3	
5578	ENSG00000154229	PRKCA	
2542	ENSG00000281500; ENSG00000137700	SLC37A4	
7852	ENSG00000121966	CXCR4	
1944	ENSG00000143590	EFNA3	
1356	ENSG00000047457	CP	
8609	ENSG00000118263	KLF7	
1490	ENSG00000118523	CCN2	
9469	ENSG00000122863	CHST3	
7163	ENSG00000076554	TPD52	
56925	ENSG00000079257	LXN	
124872	ENSG00000167080	B4GALNT2	
10891	ENSG00000109819	PPARGC1A	
596	ENSG00000171791	BCL2	
2651	ENSG00000285222; ENSG00000111846	GCNT2	
3036	ENSG00000105509	HAS1	
54800	ENSG00000114796	KLHL24	
949	ENSG00000073060	SCARB1	
6576	ENSG00000100075	SLC25A1	
6383	ENSG00000169439	SDC2	
839	ENSG00000138794	CASP6	
7428	ENSG00000134086	VHL	
2309	ENSG00000118689	FOXO3	
5155	ENSG00000100311	PDGFB	
126792	ENSG00000176022	B3GALT6	
6518	ENSG00000142583	SLC2A5	
8406	ENSG00000101955	SRPX	
2745	ENSG00000173221	GLRX	
5066	ENSG00000145730	PAM	
7045	ENSG00000120708	TGFBI	
1634	ENSG00000011465	DCN	
6478	ENSG00000181788	SIAH2	
51316	ENSG00000145287	PLAC8	
2203	ENSG00000165140	FBP1	
8459	ENSG00000128294	TPST2	
5260	ENSG00000164776	PHKG1	
4627	ENSG00000100345	MYH9	
1028	ENSG00000129757; ENSG00000273707	CDKN1C	
9380	ENSG00000137106	GRHPR	
5105	ENSG00000124253	PCK1	
3623	ENSG00000123999	INHA	
3309	ENSG00000044574	HSPA5	
8509	ENSG00000166507	NDST2	
23327	ENSG00000049759	NEDD4L	
7162	ENSG00000146242; ENSG00000283085	TPBG	
7511	ENSG00000108039	XPNPEP1	
6533	ENSG00000131389	SLC6A6	
4214	ENSG00000095015	MAP3K1	
3948	ENSG00000166796	LDHC	
9590	ENSG00000131016	AKAP12	
26136	ENSG00000135269	TES	
3798	ENSG00000155980	KIF5A	
3906	ENSG00000167531	LALBA	
1289	ENSG00000130635	COL5A1	
2817	ENSG00000063660	GPC1	
3069	ENSG00000115677	HDLBP	
10994	ENSG00000105135	ILVBL	
1463	ENSG00000130287	NCAN	
7052	ENSG00000198959	TGM2	
2113	ENSG00000134954	ETS1	
3219	ENSG00000170689	HOXB9	
8991	ENSG00000143416	SELENBP1	
6820	ENSG00000088002	SULT2B1	
7043	ENSG00000119699	TGFB3	
2224	ENSG00000160752	FDPS	
1595	ENSG00000001630	CYP51A1	
3422	ENSG00000067064	IDI1	
2222	ENSG00000284967; ENSG00000079459	FDFT1	
1717	ENSG00000172893	DHCR7	
6713	ENSG00000104549	SQLE	
3157	ENSG00000112972	HMGCS1	
50814	ENSG00000147383	NSDHL	
4047	ENSG00000160285; ENSG00000281289	LSS	
4597	ENSG00000167508	MVD	
7108	ENSG00000149809	TM7SF2	
10682	ENSG00000147155	EBP	
6319	ENSG00000099194	SCD	
10654	ENSG00000163344	PMVK	
4598	ENSG00000110921	MVK	
4023	ENSG00000175445	LPL	
6309	ENSG00000109929	SC5D	
9415	ENSG00000134824	FADS2	
3156	ENSG00000113161	HMGCR	
51478	ENSG00000132196	HSD17B7	
312	ENSG00000104537	ANXA13	
6721	ENSG00000198911	SREBF2	
5833	ENSG00000185813	PCYT2	
55902	ENSG00000131069	ACSS2	
127	ENSG00000198099	ADH4	
23474	ENSG00000105755	ETHE1	
1891	ENSG00000282853; ENSG00000104823	ECH1	
875	ENSG00000160200	CBS	
2990	ENSG00000169919	GUSB	
2194	ENSG00000169710	FASN	
3958	ENSG00000131981	LGALS3	
22809	ENSG00000169136	ATF5	
308	ENSG00000164111	ANXA5	
94241	ENSG00000164938	TP53INP1	
1119	ENSG00000110721	CHKA	
2946	ENSG00000213366	GSTM2	
39	ENSG00000120437	ACAT2	
552	ENSG00000166148	AVPR1A	
5359	ENSG00000188313	PLSCR1	
1191	ENSG00000120885	CLU	
57761	ENSG00000101255	TRIB3	
58191	ENSG00000161921	CXCL16	
51330	ENSG00000006327	TNFRSF12A	
71	ENSG00000184009	ACTG1	
5641	ENSG00000100600	LGMN	
26270	ENSG00000116663	FBXO6	
493869	ENSG00000164294	GPX8	
118429	ENSG00000163297	ANTXR2	
114569	ENSG00000147676	MAL2	
928	ENSG00000010278	CD9	
5468	ENSG00000132170	PPARG	
2731	ENSG00000178445	GLDC	
6811	ENSG00000162236	STX5	
134429	ENSG00000164211	STARD4	
1499	ENSG00000168036	CTNNB1	
27346	ENSG00000109084	TMEM97	
116496	ENSG00000135842	NIBAN1	
7869	ENSG00000012171	SEMA3B	
2770	ENSG00000127955	GNAI1	
20	ENSG00000107331	ABCA2	
6311	ENSG00000204842	ATXN2	
214	ENSG00000170017	ALCAM	
2171	ENSG00000164687	FABP5	
6282	ENSG00000163191	S100A11	
132864	ENSG00000137449; ENSG00000283087	CPEB2	
9181	ENSG00000116584	ARHGEF2	
23332	ENSG00000074054	CLASP1	
3832	ENSG00000138160	KIF11	
9493	ENSG00000137807	KIF23	
57679	ENSG00000003393	ALS2	
382	ENSG00000165527	ARF6	
4650	ENSG00000099331	MYO9B	
10426	ENSG00000282003; ENSG00000126216	TUBGCP3	
9793	ENSG00000175216	CKAP5	
29127	ENSG00000161800	RACGAP1	
57580	ENSG00000124126	PREX1	
50650	ENSG00000163947	ARHGEF3	
4926	ENSG00000137497	NUMA1	
6711	ENSG00000115306	SPTBN1	
11004	ENSG00000142945	KIF2C	
3799	ENSG00000170759	KIF5B	
7272	ENSG00000112742	TTK	
324	ENSG00000134982	APC	
11190	ENSG00000126001	CEP250	
5048	ENSG00000007168	PAFAH1B1	
10435	ENSG00000149798	CDC42EP2	
9371	ENSG00000101350	KIF3B	
55704	ENSG00000115355	CCDC88A	
56992	ENSG00000280610; ENSG00000163808	KIF15	
332	ENSG00000089685	BIRC5	
116840	ENSG00000170037	CNTROB	
4763	ENSG00000196712	NF1	
7248	ENSG00000165699	TSC1	
996	ENSG00000004897	CDC27	
11064	ENSG00000119397	CNTRL	
114791	ENSG00000275835; ENSG00000276856; ENSG00000280807	TUBGCP5	
24137	ENSG00000090889	KIF4A	
22919	ENSG00000101367	MAPRE1	
55785	ENSG00000180263	FGD6	
675	ENSG00000139618	BRCA2	
5347	ENSG00000166851	PLK1	
5921	ENSG00000145715	RASA1	
4751	ENSG00000117650	NEK2	
8936	ENSG00000112290	WASF1	
7153	ENSG00000131747	TOP2A	
7204	ENSG00000038382	TRIO	
9826	ENSG00000132694	ARHGEF11	
10300	ENSG00000140854	KATNB1	
9055	ENSG00000198901	PRC1	
54443	ENSG00000011426	ANLN	
55755	ENSG00000136861	CDK5RAP2	
9126	ENSG00000108055	SMC3	
10844	ENSG00000130640	TUBGCP2	
9700	ENSG00000135476	ESPL1	
55201	ENSG00000130479	MAP1S	
201176	ENSG00000276836; ENSG00000276907; ENSG00000159314	ARHGAP27	
9732	ENSG00000128512	DOCK4	
29901	ENSG00000168061	SAC3D1	
3619	ENSG00000149503	INCENP	
394	ENSG00000100852	ARHGAP5	
2934	ENSG00000148180	GSN	
10276	ENSG00000173848	NET1	
10128	ENSG00000138095	LRPPRC	
23637	ENSG00000011454	RABGAP1	
2317	ENSG00000136068	FLNB	
64411	ENSG00000120318	ARAP3	
121512	ENSG00000139132	FGD4	
29	ENSG00000276016; ENSG00000159842; ENSG00000278741	ABR	
55835	ENSG00000151849	CENPJ	
4690	ENSG00000158092	NCK1	
1063	ENSG00000117724	CENPF	
9585	ENSG00000138182	KIF20B	
10163	ENSG00000158195	WASF2	
4628	ENSG00000133026	MYH10	
1062	ENSG00000138778	CENPE	
9266	ENSG00000105443	CYTH2	
4281	ENSG00000101871	MID1	
3831	ENSG00000126214	KLC1	
57787	ENSG00000007047	MARK4	
127829	ENSG00000143862	ARL8A	
9702	ENSG00000166037	CEP57	
8409	ENSG00000126756	UXT	
393	ENSG00000089820	ARHGAP4	
23580	ENSG00000179604	CDC42EP4	
163786	ENSG00000156876	SASS6	
9113	ENSG00000131023	LATS1	
4983	ENSG00000079482	OPHN1	
8976	ENSG00000106299	WASL	
4296	ENSG00000173327	MAP3K11	
6654	ENSG00000115904	SOS1	
25	ENSG00000097007	ABL1	
7074	ENSG00000156299	TIAM1	
23095	ENSG00000054523	KIF1B	
6453	ENSG00000205726	ITSN1	
134549	ENSG00000164403	SHROOM1	
8440	ENSG00000071051	NCK2	
9787	ENSG00000126787	DLGAP5	
613	ENSG00000186716	BCR	
10048	ENSG00000010017	RANBP9	
2037	ENSG00000079819	EPB41L2	
10801	ENSG00000282302; ENSG00000184640	SEPTIN9	
11104	ENSG00000186625	KATNA1	
51174	ENSG00000108423	TUBD1	
22974	ENSG00000088325	TPX2	
3797	ENSG00000084731	KIF3C	
357	ENSG00000146950	SHROOM2	
85378	ENSG00000128159	TUBGCP6	
6709	ENSG00000197694	SPTAN1	
23022	ENSG00000129116	PALLD	
23647	ENSG00000132254	ARFIP2	
9735	ENSG00000184445	KNTC1	
84376	ENSG00000168172	HOOK3	
25777	ENSG00000100242	SUN2	
58526	ENSG00000165175	MID1IP1	
1739	ENSG00000075711	DLG1	
2316	ENSG00000196924	FLNA	
79658	ENSG00000071205	ARHGAP10	
8476	ENSG00000143776	CDC42BPA	
23365	ENSG00000196914	ARHGEF12	
51199	ENSG00000100503	NIN	
5108	ENSG00000078674	PCM1	
10928	ENSG00000017797	RALBP1	
7430	ENSG00000092820	EZR	
85464	ENSG00000141298	SSH2	
983	ENSG00000170312	CDK1	
22930	ENSG00000115839	RAB3GAP1	
10160	ENSG00000152767	FARP1	
11346	ENSG00000171992	SYNPO	
54509	ENSG00000139725	RHOF	
1894	ENSG00000114346	ECT2	
2035	ENSG00000159023	EPB41	
51735	ENSG00000158987	RAPGEF6	
3835	ENSG00000079616	KIF22	
84333	ENSG00000180628	PCGF5	
6780	ENSG00000124214	STAU1	
396	ENSG00000141522	ARHGDIA	
6790	ENSG00000087586	AURKA	
26271	ENSG00000112029	FBXO5	
51203	ENSG00000137804	NUSAP1	
5829	ENSG00000089159	PXN	
9564	ENSG00000050820; ENSG00000285460	BCAR1	
23607	ENSG00000198087	CD2AP	
11214	ENSG00000170776	AKAP13	
10013	ENSG00000094631	HDAC6	
22994	ENSG00000141577	CEP131	
3996	ENSG00000284137; ENSG00000131899	LLGL1	
23192	ENSG00000168397	ATG4B	
5116	ENSG00000160299	PCNT	
7840	ENSG00000116127	ALMS1	
285464	ENSG00000163945	-	
11133	ENSG00000118162	KPTN	
667	ENSG00000151914	DST	
22920	ENSG00000075945	KIFAP3	
151987	ENSG00000163605	PPP4R2	
9411	ENSG00000137962	ARHGAP29	
9462	ENSG00000075391	RASAL2	
9133	ENSG00000157456	CCNB2	
80119	ENSG00000140451	PIF1	
5922	ENSG00000155903	RASA2	
4739	ENSG00000111859	NEDD9	
8243	ENSG00000072501	SMC1A	
81	ENSG00000130402; ENSG00000282844	ACTN4	
5311	ENSG00000118762	PKD2	
7461	ENSG00000106665	CLIP2	
998	ENSG00000070831	CDC42	
10403	ENSG00000080986	NDC80	
9874	ENSG00000198586	TLK1	
9344	ENSG00000149930	TAOK2	
6904	ENSG00000141556; ENSG00000278759	TBCD	
832	ENSG00000077549	CAPZB	
1794	ENSG00000134516	DOCK2	
2017	ENSG00000085733	CTTN	
10051	ENSG00000113810	SMC4	
10565	ENSG00000066777	ARFGEF1	
7277	ENSG00000127824	TUBA4A	
4001	ENSG00000113368	LMNB1	
10006	ENSG00000136754	ABI1	
6093	ENSG00000067900	ROCK1	
55125	ENSG00000101639	CEP192	
699	ENSG00000169679	BUB1	
50628	ENSG00000179409	GEMIN4	
64857	ENSG00000090924	PLEKHG2	
253260	ENSG00000164327	RICTOR	
10018	ENSG00000153094	BCL2L11	
1778	ENSG00000197102	DYNC1H1	
6624	ENSG00000075618	FSCN1	
8874	ENSG00000102606	ARHGEF7	
140735	ENSG00000264364	DYNLL2	
4643	ENSG00000157483	MYO1E	
274	ENSG00000136717	BIN1	
4853	ENSG00000134250	NOTCH2	
5981	ENSG00000035928	RFC1	
89941	ENSG00000140983	RHOT2	
8470	ENSG00000154556	SORBS2	
11135	ENSG00000128283	CDC42EP1	
7414	ENSG00000035403	VCL	
6249	ENSG00000130779	CLIP1	
23012	ENSG00000211455	STK38L	
7531	ENSG00000108953; ENSG00000274474	YWHAE	
9771	ENSG00000136237	RAPGEF5	
55722	ENSG00000280688; ENSG00000112877	CEP72	
1453	ENSG00000141551	CSNK1D	
3714	ENSG00000184916	JAG2	
4851	ENSG00000148400	NOTCH1	
28514	ENSG00000275555; ENSG00000198719	DLL1	
8313	ENSG00000168646	AXIN2	
5664	ENSG00000143801	PSEN2	
8321	ENSG00000157240	FZD1	
4855	ENSG00000232339; ENSG00000235396; ENSG00000204301; ENSG00000238196; ENSG00000234876; ENSG00000223355; ENSG00000206312	NOTCH4	
51176	ENSG00000138795	LEF1	
8312	ENSG00000103126	AXIN1	
85407	ENSG00000140807	NKD1	
81029	ENSG00000111186	WNT5B	
8454	ENSG00000055130	CUL1	
9794	ENSG00000283780; ENSG00000161021	MAML1	
2648	ENSG00000108773	KAT2A	
7475	ENSG00000115596	WNT6	
5727	ENSG00000185920	PTCH1	
9612	ENSG00000196498	NCOR2	
27121	ENSG00000104371	DKK4	
3066	ENSG00000196591	HDAC2	
22943	ENSG00000107984	DKK1	
6932	ENSG00000081059	TCF7	
7471	ENSG00000125084	WNT1	
8650	ENSG00000133961	NUMB	
6868	ENSG00000151694	ADAM17	
1856	ENSG00000004975	DVL2	
5467	ENSG00000112033	PPARD	
23385	ENSG00000162736	NCSTN	
10014	ENSG00000108840	HDAC5	
894	ENSG00000118971	CCND2	
10023	ENSG00000165879	FRAT1	
1454	ENSG00000213923	CSNK1E	
8325	ENSG00000177283	FZD8	
7157	ENSG00000141510	TP53	
6502	ENSG00000145604	SKP2	
23493	ENSG00000135547	HEY2	
23462	ENSG00000164683	HEY1	
79885	ENSG00000163517	HDAC11	
7046	ENSG00000106799	TGFBR1	
4092	ENSG00000101665	SMAD7	
7040	ENSG00000105329	TGFB1	
64750	ENSG00000108854	SMURF2	
57154	ENSG00000198742; ENSG00000284126	SMURF1	
659	ENSG00000204217	BMPR2	
6498	ENSG00000136603	SKIL	
6497	ENSG00000157933	SKI	
90	ENSG00000115170	ACVR1	
4086	ENSG00000170365	SMAD1	
4091	ENSG00000137834	SMAD6	
5045	ENSG00000140564	FURIN	
2280	ENSG00000088832	FKBP1A	
6885	ENSG00000135341	MAP3K7	
657	ENSG00000107779	BMPR1A	
28996	ENSG00000064393	HIPK2	
2022	ENSG00000106991	ENG	
5494	ENSG00000100614	PPM1A	
331	ENSG00000101966	XIAP	
999	ENSG00000039068	CDH1	
3397	ENSG00000125968	ID1	
7044	ENSG00000143768	LEFTY2	
51592	ENSG00000197323	TRIM33	
11031	ENSG00000168461	RAB31	
7082	ENSG00000277401; ENSG00000104067	TJP1	
6574	ENSG00000144136	SLC20A1	
1025	ENSG00000136807	CDK9	
3399	ENSG00000117318; ENSG00000283060	ID3	
9241	ENSG00000183691	NOG	
51742	ENSG00000054267	ARID4B	
5499	ENSG00000172531	PPP1CA	
25937	ENSG00000018408	WWTR1	
8412	ENSG00000137936	BCAR3	
7057	ENSG00000137801	THBS1	
2339	ENSG00000168522	FNTA	
3065	ENSG00000116478	HDAC1	
7323	ENSG00000109332	UBE2D3	
4053	ENSG00000119681	LTBP2	
387	ENSG00000067560	RHOA	
3566	ENSG00000077238	IL4R	
6772	ENSG00000115415	STAT1	
3554	ENSG00000115594	IL1R1	
1439	ENSG00000100368	CSF2RB	
6774	ENSG00000168610	STAT3	
9180	ENSG00000145623	OSMR	
3561	ENSG00000147168	IL2RG	
3459	ENSG00000027697	IFNGR1	
7297	ENSG00000105397	TYK2	
3597	ENSG00000131724	IL13RA1	
