Gene.name	Gene.stable.ID	Mouse.gene.stable.ID	Mouse.gene.name
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095519	Ighv1-66
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094546	Ighv1-26
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096672	Ighv1-63
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094198	Ighv1-50
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000076688	Ighv15-2
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000076709	Ighv1-47
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095863	Ighv1-67
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094652	Ighv1-42
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096074	Ighv1-72
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096767	Ighv1-62-3
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000103290	Ighv1-23
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095642	Ighv14-3
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096150	Ighv1-85
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094940	Ighv1-84
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095442	Ighv1-4
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096326	Ighv1-78
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000076695	Ighv1-18
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095204	Ighv1-52
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000076666	Ighv14-4
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094087	Ighv1-61
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000094787	Ighv1-54
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095761	Ighv1-20
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096410	Ighv1-19
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000093896	Ighv1-76
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000096020	Ighv1-75
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000102313	Ighv1-62-1
IGHV1OR15-9	ENSG00000188403	ENSMUSG00000095859	Ighv1-43
IFT88	ENSG00000032742	ENSMUSG00000040040	Ift88
SIGIRR	ENSG00000185187	ENSMUSG00000025494	Sigirr
DUOX1	ENSG00000137857	ENSMUSG00000033268	Duox1
FKBP6	ENSG00000077800	ENSMUSG00000040013	Fkbp6
OR2B2	ENSG00000168131	ENSMUSG00000108674	Olfr1359
OR2B2	ENSG00000168131	ENSMUSG00000108534	Olfr1360
PPP1R17	ENSG00000106341	ENSMUSG00000002930	Ppp1r17
AKAP11	ENSG00000023516	ENSMUSG00000022016	Akap11
ANKRD33B	ENSG00000164236	ENSMUSG00000022237	Ankrd33b
CCNY	ENSG00000108100	ENSMUSG00000024286	Ccny
TRIM44	ENSG00000166326	ENSMUSG00000027189	Trim44
OR2B6	ENSG00000124657	ENSMUSG00000036658	Olfr11
OSGEP	ENSG00000092094	ENSMUSG00000006289	Osgep
SHROOM4	ENSG00000158352	ENSMUSG00000068270	Shroom4
TRIM39	ENSG00000204599	ENSMUSG00000045409	Trim39
ASMT	ENSG00000196433	ENSMUSG00000093806	Asmt
KIAA1217	ENSG00000120549	ENSMUSG00000036617	Etl4
AL035460.1	ENSG00000241690	ENSMUSG00000100963	Gm28372
UBE2L6	ENSG00000156587	ENSMUSG00000027078	Ube2l6
TMEM239	ENSG00000198326	ENSMUSG00000049692	Tmem239
SKOR1	ENSG00000188779	ENSMUSG00000022245	Skor1
L2HGDH	ENSG00000087299	ENSMUSG00000020988	L2hgdh
HIP1	ENSG00000127946	ENSMUSG00000039959	Hip1
TSG101	ENSG00000074319	ENSMUSG00000014402	Tsg101
ANKRD63	ENSG00000230778	ENSMUSG00000078137	Ankrd63
PLCB2	ENSG00000137841	ENSMUSG00000040061	Plcb2
GJD4	ENSG00000177291	ENSMUSG00000036855	Gjd4
RPP21	ENSG00000241370	ENSMUSG00000024446	Rpp21
FZD8	ENSG00000177283	ENSMUSG00000036904	Fzd8
FZD9	ENSG00000188763	ENSMUSG00000049551	Fzd9
TNNT3	ENSG00000130595	ENSMUSG00000061723	Tnnt3
TENT2	ENSG00000164329	ENSMUSG00000042167	Tent2
ADAP1	ENSG00000105963	ENSMUSG00000056413	Adap1
PIGT	ENSG00000124155	ENSMUSG00000017721	Pigt
DNMT3L	ENSG00000142182	ENSMUSG00000000730	Dnmt3l
SERPINB6	ENSG00000124570	ENSMUSG00000052180	Serpinb6c
SERPINB6	ENSG00000124570	ENSMUSG00000069248	Serpinb6e
SERPINB6	ENSG00000124570	ENSMUSG00000047889	Serpinb6d
SERPINB6	ENSG00000124570	ENSMUSG00000060147	Serpinb6a
SERPINB6	ENSG00000124570	ENSMUSG00000042842	Serpinb6b
ZSWIM3	ENSG00000132801	ENSMUSG00000045822	Zswim3
TNFSF11	ENSG00000120659	ENSMUSG00000022015	Tnfsf11
BMP15	ENSG00000130385	ENSMUSG00000023279	Bmp15
C20orf173	ENSG00000125975	ENSMUSG00000074646	6430550D23Rik
FSHR	ENSG00000170820	ENSMUSG00000032937	Fshr
FAM20C	ENSG00000177706	ENSMUSG00000025854	Fam20c
ZSWIM1	ENSG00000168612	ENSMUSG00000017764	Zswim1
DDAH2	ENSG00000213722	ENSMUSG00000007039	Ddah2
PAN3	ENSG00000152520	ENSMUSG00000029647	Pan3
RPS21	ENSG00000171858	ENSMUSG00000039001	Rps21
SRMS	ENSG00000125508	ENSMUSG00000027579	Srms
MCM10	ENSG00000065328	ENSMUSG00000026669	Mcm10
RNF5	ENSG00000204308	ENSMUSG00000015478	Rnf5
TIPIN	ENSG00000075131	ENSMUSG00000032397	Tipin
RMND5A	ENSG00000153561	ENSMUSG00000002222	Rmnd5a
DEFB125	ENSG00000178591	ENSMUSG00000074680	Defb26
OTUB1	ENSG00000167770	ENSMUSG00000024767	Otub1
KCNIP3	ENSG00000115041	ENSMUSG00000079056	Kcnip3
AC187653.1	ENSG00000248767	ENSMUSG00000094504	Gm5294
LYZL1	ENSG00000120563	ENSMUSG00000024233	Lyzl1
ELF4	ENSG00000102034	ENSMUSG00000031103	Elf4
RNF103	ENSG00000239305	ENSMUSG00000052656	Rnf103
SLC6A8	ENSG00000130821	ENSMUSG00000019558	Slc6a8
TLX2	ENSG00000115297	ENSMUSG00000068327	Tlx2
EN1	ENSG00000163064	ENSMUSG00000058665	En1
COX19	ENSG00000240230	ENSMUSG00000045438	Cox19
NOL4L	ENSG00000197183	ENSMUSG00000061411	Nol4l
BAZ1B	ENSG00000009954	ENSMUSG00000002748	Baz1b
CCND3	ENSG00000112576	ENSMUSG00000034165	Ccnd3
NLRP14	ENSG00000158077	ENSMUSG00000016626	Nlrp14
MBD3L5	ENSG00000237247	ENSMUSG00000047508	Mbd3l2
SRD5A3	ENSG00000128039	ENSMUSG00000029233	Srd5a3
TUBB4A	ENSG00000104833	ENSMUSG00000062591	Tubb4a
SLC6A11	ENSG00000132164	ENSMUSG00000030307	Slc6a11
ARMH3	ENSG00000120029	ENSMUSG00000039901	Armh3
CCR8	ENSG00000179934	ENSMUSG00000042262	Ccr8
MBD3L4	ENSG00000205718	ENSMUSG00000047508	Mbd3l2
RNF103-CHMP3	ENSG00000249884	ENSMUSG00000053119	Chmp3
LDLRAD3	ENSG00000179241	ENSMUSG00000048058	Ldlrad3
MBD3L2	ENSG00000230522	ENSMUSG00000047508	Mbd3l2
CHMP3	ENSG00000115561	ENSMUSG00000053119	Chmp3
AMTN	ENSG00000187689	ENSMUSG00000029282	Amtn
SPACA7	ENSG00000153498	ENSMUSG00000031509	1700016D06Rik
SPACA7	ENSG00000153498	ENSMUSG00000010435	Spaca7
DEFB127	ENSG00000088782	ENSMUSG00000048500	Defb15
DEFB127	ENSG00000088782	ENSMUSG00000052554	Defb34
DEFB127	ENSG00000088782	ENSMUSG00000027468	Defb22
SLC25A38	ENSG00000144659	ENSMUSG00000032519	Slc25a38
DEFB128	ENSG00000185982	ENSMUSG00000049560	Defb20
NSG2	ENSG00000170091	ENSMUSG00000020297	Nsg2
TANC1	ENSG00000115183	ENSMUSG00000035168	Tanc1
UBL7	ENSG00000138629	ENSMUSG00000055720	Ubl7
SPATA25	ENSG00000149634	ENSMUSG00000017767	Spata25
SAPCD1	ENSG00000228727	ENSMUSG00000036185	Sapcd1
FLRT1	ENSG00000126500	ENSMUSG00000047787	Flrt1
BCL11A	ENSG00000119866	ENSMUSG00000000861	Bcl11a
TIMM22	ENSG00000177370	ENSMUSG00000020843	Timm22
MACROD1	ENSG00000133315	ENSMUSG00000036278	Macrod1
MSH5-SAPCD1	ENSG00000255152	ENSMUSG00000007035	Msh5
TMED3	ENSG00000166557	ENSMUSG00000032353	Tmed3
ABR	ENSG00000159842	ENSMUSG00000017631	Abr
COMMD4	ENSG00000140365	ENSMUSG00000032299	Commd4
ALDH3B2	ENSG00000132746	ENSMUSG00000037263	Aldh3b3
ALDH3B2	ENSG00000132746	ENSMUSG00000075296	Aldh3b2
B4GALT1	ENSG00000086062	ENSMUSG00000028413	B4galt1
DENND4C	ENSG00000137145	ENSMUSG00000038024	Dennd4c
CALR	ENSG00000179218	ENSMUSG00000003814	Calr
TRBV13	ENSG00000276405	ENSMUSG00000095574	Trbv12-1
TRBV13	ENSG00000276405	ENSMUSG00000094525	Trbv12-2
TRBV10-3	ENSG00000275791	ENSMUSG00000076470	Trbv13-3
TRBV10-3	ENSG00000275791	ENSMUSG00000076469	Trbv13-2
TRBV10-3	ENSG00000275791	ENSMUSG00000076467	Trbv13-1
ZMYND11	ENSG00000015171	ENSMUSG00000021156	Zmynd11
PNCK	ENSG00000130822	ENSMUSG00000002012	Pnck
TRBV11-3	ENSG00000276597	ENSMUSG00000076471	Trbv14
TRBV12-3	ENSG00000274752	ENSMUSG00000076472	Trbv15
MINAR1	ENSG00000169330	ENSMUSG00000039313	Minar1
TRBV12-4	ENSG00000276953	ENSMUSG00000076472	Trbv15
HNRNPA0	ENSG00000177733	ENSMUSG00000007836	Hnrnpa0
MARCO	ENSG00000019169	ENSMUSG00000026390	Marco
RPEL1	ENSG00000235376	ENSMUSG00000026005	Rpe
TRBV12-5	ENSG00000275158	ENSMUSG00000076473	Trbv16
CDKL1	ENSG00000100490	ENSMUSG00000020990	Cdkl1
IL15RA	ENSG00000134470	ENSMUSG00000023206	Il15ra
PITPNA	ENSG00000174238	ENSMUSG00000017781	Pitpna
TRBV15	ENSG00000276819	ENSMUSG00000076474	Trbv17
COX8A	ENSG00000176340	ENSMUSG00000035885	Cox8a
PCSK7	ENSG00000160613	ENSMUSG00000035382	Pcsk7
INA	ENSG00000148798	ENSMUSG00000034336	Ina
PNLIPRP1	ENSG00000187021	ENSMUSG00000042179	Pnliprp1
MOAP1	ENSG00000165943	ENSMUSG00000096458	Moap1
IGHV1-69	ENSG00000211973	ENSMUSG00000094561	Ighv1-22
IGHV1-69	ENSG00000211973	ENSMUSG00000095923	Ighv1-37
IGHV1-69	ENSG00000211973	ENSMUSG00000093955	Ighv1-34
IGHV1-69	ENSG00000211973	ENSMUSG00000095416	Ighv1-12
IGHV1-69	ENSG00000211973	ENSMUSG00000094862	Ighv1-56
IGHV1-69	ENSG00000211973	ENSMUSG00000094124	Ighv1-74
IGHV1-69	ENSG00000211973	ENSMUSG00000076710	Ighv1-49
IGHV1-69	ENSG00000211973	ENSMUSG00000095589	Ighv1-55
IGHV1-69	ENSG00000211973	ENSMUSG00000103254	Ighv1-15
IGHV1-69	ENSG00000211973	ENSMUSG00000095127	Ighv1-82
IGHV1-69	ENSG00000211973	ENSMUSG00000094689	Ighv1-81
IGHV1-69	ENSG00000211973	ENSMUSG00000094502	Ighv1-69
IGHV1-69	ENSG00000211973	ENSMUSG00000094694	Ighv1-9
IGHV1-69	ENSG00000211973	ENSMUSG00000096078	Ighv1-62-2
IGHV1-69	ENSG00000211973	ENSMUSG00000095583	Ighv14-2
IGHV1-69	ENSG00000211973	ENSMUSG00000095554	Ighv1-16
IGHV1-69	ENSG00000211973	ENSMUSG00000095200	Ighv1-7
IGHV1-69	ENSG00000211973	ENSMUSG00000095130	Ighv1-39
IGHV1-69	ENSG00000211973	ENSMUSG00000096499	Ighv1-5
IGHV1-69	ENSG00000211973	ENSMUSG00000102888	Ighv1-11
IGHV1-69	ENSG00000211973	ENSMUSG00000093894	Ighv1-53
IGHV1-69	ENSG00000211973	ENSMUSG00000094241	Ighv1-24
IGHV1-69	ENSG00000211973	ENSMUSG00000094509	Ighv14-1
IGHV1-69	ENSG00000211973	ENSMUSG00000094088	Ighv1-64
IGHV1-69	ENSG00000211973	ENSMUSG00000094075	Ighv1-80
IGHV1-69	ENSG00000211973	ENSMUSG00000094051	Ighv1-36
IGHV1-69	ENSG00000211973	ENSMUSG00000095889	Ighv1-58
IGHV1-69	ENSG00000211973	ENSMUSG00000096649	Ighv1-31
IGHV1-69	ENSG00000211973	ENSMUSG00000096577	Ighv1-71
IGHV1-69	ENSG00000211973	ENSMUSG00000096452	Ighv1-77
IGHV1-69	ENSG00000211973	ENSMUSG00000095197	Ighv1-59
IGHV1-69	ENSG00000211973	ENSMUSG00000095519	Ighv1-66
IGHV1-69	ENSG00000211973	ENSMUSG00000094546	Ighv1-26
IGHV1-69	ENSG00000211973	ENSMUSG00000096672	Ighv1-63
IGHV1-69	ENSG00000211973	ENSMUSG00000094198	Ighv1-50
IGHV1-69	ENSG00000211973	ENSMUSG00000076688	Ighv15-2
IGHV1-69	ENSG00000211973	ENSMUSG00000076709	Ighv1-47
IGHV1-69	ENSG00000211973	ENSMUSG00000095863	Ighv1-67
IGHV1-69	ENSG00000211973	ENSMUSG00000094652	Ighv1-42
IGHV1-69	ENSG00000211973	ENSMUSG00000096074	Ighv1-72
IGHV1-69	ENSG00000211973	ENSMUSG00000096767	Ighv1-62-3
IGHV1-69	ENSG00000211973	ENSMUSG00000103290	Ighv1-23
IGHV1-69	ENSG00000211973	ENSMUSG00000095642	Ighv14-3
IGHV1-69	ENSG00000211973	ENSMUSG00000096150	Ighv1-85
IGHV1-69	ENSG00000211973	ENSMUSG00000094940	Ighv1-84
IGHV1-69	ENSG00000211973	ENSMUSG00000095442	Ighv1-4
IGHV1-69	ENSG00000211973	ENSMUSG00000096326	Ighv1-78
IGHV1-69	ENSG00000211973	ENSMUSG00000076695	Ighv1-18
IGHV1-69	ENSG00000211973	ENSMUSG00000095204	Ighv1-52
IGHV1-69	ENSG00000211973	ENSMUSG00000076666	Ighv14-4
IGHV1-69	ENSG00000211973	ENSMUSG00000094087	Ighv1-61
IGHV1-69	ENSG00000211973	ENSMUSG00000094787	Ighv1-54
IGHV1-69	ENSG00000211973	ENSMUSG00000095761	Ighv1-20
IGHV1-69	ENSG00000211973	ENSMUSG00000096410	Ighv1-19
IGHV1-69	ENSG00000211973	ENSMUSG00000093896	Ighv1-76
IGHV1-69	ENSG00000211973	ENSMUSG00000096020	Ighv1-75
IGHV1-69	ENSG00000211973	ENSMUSG00000102313	Ighv1-62-1
IGHV1-69	ENSG00000211973	ENSMUSG00000095859	Ighv1-43
SOX6	ENSG00000110693	ENSMUSG00000051910	Sox6
SEMA3A	ENSG00000075213	ENSMUSG00000028883	Sema3a
SPECC1	ENSG00000128487	ENSMUSG00000042331	Specc1
MYOT	ENSG00000120729	ENSMUSG00000024471	Myot
HPS6	ENSG00000166189	ENSMUSG00000074811	Hps6
C6orf118	ENSG00000112539	ENSMUSG00000023873	1700010I14Rik
NRG2	ENSG00000158458	ENSMUSG00000060275	Nrg2
MMS19	ENSG00000155229	ENSMUSG00000025159	Mms19
DMAC2L	ENSG00000125375	ENSMUSG00000054894	Dmac2l
CCDC173	ENSG00000154479	ENSMUSG00000070883	Ccdc173
CHL1	ENSG00000134121	ENSMUSG00000030077	Chl1
ESCO1	ENSG00000141446	ENSMUSG00000024293	Esco1
NIPA1	ENSG00000170113	ENSMUSG00000047037	Nipa1
LAMA2	ENSG00000196569	ENSMUSG00000019899	Lama2
AFF2	ENSG00000155966	ENSMUSG00000031189	Aff2
C10orf120	ENSG00000183559	ENSMUSG00000013668	4933402N03Rik
CLIC1	ENSG00000213719	ENSMUSG00000007041	Clic1
RDH10	ENSG00000121039	ENSMUSG00000025921	Rdh10
FAM13B	ENSG00000031003	ENSMUSG00000036501	Fam13b
SPINK4	ENSG00000122711	ENSMUSG00000028415	Spink4
CMYA5	ENSG00000164309	ENSMUSG00000047419	Cmya5
ARAP1	ENSG00000186635	ENSMUSG00000032812	Arap1
IGHV2-70D	ENSG00000211974	ENSMUSG00000095117	Ighv8-9
IGHV2-70D	ENSG00000211974	ENSMUSG00000104452	Ighv8-8
IGHV2-70D	ENSG00000211974	ENSMUSG00000094505	Ighv8-6
IGHV2-70D	ENSG00000211974	ENSMUSG00000076733	Ighv8-13
IGHV2-70D	ENSG00000211974	ENSMUSG00000076731	Ighv8-12
IGHV2-70D	ENSG00000211974	ENSMUSG00000102301	Ighv8-2
IGHV2-70D	ENSG00000211974	ENSMUSG00000096355	Ighv8-4
IGHV2-70D	ENSG00000211974	ENSMUSG00000102364	Ighv8-5
IGHV2-70D	ENSG00000211974	ENSMUSG00000095170	Ighv8-11
RPL7	ENSG00000147604	ENSMUSG00000043716	Rpl7
UTRN	ENSG00000152818	ENSMUSG00000019820	Utrn
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094561	Ighv1-22
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095923	Ighv1-37
IGHV1-69-2	ENSG00000281990	ENSMUSG00000093955	Ighv1-34
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095416	Ighv1-12
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094862	Ighv1-56
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094124	Ighv1-74
IGHV1-69-2	ENSG00000281990	ENSMUSG00000076710	Ighv1-49
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095589	Ighv1-55
IGHV1-69-2	ENSG00000281990	ENSMUSG00000103254	Ighv1-15
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095127	Ighv1-82
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094689	Ighv1-81
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094502	Ighv1-69
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094694	Ighv1-9
IGHV1-69-2	ENSG00000281990	ENSMUSG00000096078	Ighv1-62-2
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095583	Ighv14-2
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095554	Ighv1-16
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095200	Ighv1-7
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095130	Ighv1-39
IGHV1-69-2	ENSG00000281990	ENSMUSG00000096499	Ighv1-5
IGHV1-69-2	ENSG00000281990	ENSMUSG00000102888	Ighv1-11
IGHV1-69-2	ENSG00000281990	ENSMUSG00000093894	Ighv1-53
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094241	Ighv1-24
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094509	Ighv14-1
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094088	Ighv1-64
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094075	Ighv1-80
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094051	Ighv1-36
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095889	Ighv1-58
IGHV1-69-2	ENSG00000281990	ENSMUSG00000096649	Ighv1-31
IGHV1-69-2	ENSG00000281990	ENSMUSG00000096577	Ighv1-71
IGHV1-69-2	ENSG00000281990	ENSMUSG00000096452	Ighv1-77
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095197	Ighv1-59
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095519	Ighv1-66
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094546	Ighv1-26
IGHV1-69-2	ENSG00000281990	ENSMUSG00000096672	Ighv1-63
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094198	Ighv1-50
IGHV1-69-2	ENSG00000281990	ENSMUSG00000076688	Ighv15-2
IGHV1-69-2	ENSG00000281990	ENSMUSG00000076709	Ighv1-47
IGHV1-69-2	ENSG00000281990	ENSMUSG00000095863	Ighv1-67
IGHV1-69-2	ENSG00000281990	ENSMUSG00000094652	Ighv1-42
IGHV1-69-2	ENSG00000281990	ENSMUSG00000096074	Ighv1-72
IGHV1-69-2	ENSG00000281990	ENSMUSG00000096767	Ighv1-62-3
IGHV1-69-2	ENSG00000281990	ENSMUSG00000103290	Ighv1-23
